,Year,Physics,Chemistry,Physiologyor Medicine,Literature,Peace,Economics(The Sveriges Riksbank Prize)
58,1960,Donald A. Glaser,Willard Libby,Frank Macfarlane Burnet;Peter Medawar,Saint-John Perse,Albert Lutuli,—
59,1961,Robert Hofstadter;Rudolf Mössbauer,Melvin Calvin,Georg von Békésy,Ivo Andrić,Dag Hammarskjöld,—
60,1962,Lev Landau,Max Perutz;John Kendrew,Francis Crick;James D. Watson;Maurice Wilkins,John Steinbeck,Linus Pauling,—
61,1963,Eugene Wigner;Maria Goeppert-Mayer;J. Hans D. Jensen,Karl Ziegler;Giulio Natta,John Eccles;Alan Lloyd Hodgkin;Andrew Huxley,Giorgos Seferis,International Committee of the Red Cross;League of Red Cross societies,—
62,1964,Charles Hard Townes;Nikolay Basov;Alexander Prokhorov,Dorothy Hodgkin,Konrad Emil Bloch;Feodor Felix Konrad Lynen,Jean-Paul Sartre [e],"Martin Luther King, Jr.",—
63,1965,Sin-Itiro Tomonaga;Julian Schwinger;Richard Feynman,Robert Burns Woodward,François Jacob;André Michel Lwoff;Jacques Monod,Mikhail Sholokhov,United Nations International Children's Emergency Fund (UNICEF),—
64,1966,Alfred Kastler,Robert S. Mulliken,Francis Peyton Rous;Charles Brenton Huggins,Shmuel Yosef Agnon;Nelly Sachs,None,—
65,1967,Hans Bethe,Manfred Eigen;Ronald George Wreyford Norrish;George Porter,Ragnar Granit;Haldan Keffer Hartline;George Wald,Miguel Ángel Asturias,None,—
66,1968,Luis Walter Alvarez,Lars Onsager,Robert W. Holley;Har Gobind Khorana;Marshall Warren Nirenberg,Yasunari Kawabata,René Cassin,—
67,1969,Murray Gell-Mann,Derek Barton;Odd Hassel,Max Delbrück;Alfred Hershey;Salvador Luria,Samuel Beckett,International Labour Organization,Ragnar Frisch;Jan Tinbergen
68,1970,Hannes Alfvén;Louis Néel,Luis Federico Leloir,Julius Axelrod;Ulf von Euler;Bernard Katz,Aleksandr Solzhenitsyn,Norman Borlaug,Paul Samuelson
69,1971,Dennis Gabor,Gerhard Herzberg,"Earl Wilbur Sutherland, Jr.",Pablo Neruda,Willy Brandt,Simon Kuznets
70,1972,John Bardeen;Leon Cooper;John Robert Schrieffer,Christian B. Anfinsen;Stanford Moore;William Howard Stein,Gerald Edelman;Rodney Robert Porter,Heinrich Böll,None,John Hicks;Kenneth Arrow
71,1973,Leo Esaki;Ivar Giaever;Brian David Josephson,Ernst Otto Fischer;Geoffrey Wilkinson,Karl von Frisch;Konrad Lorenz;Nikolaas Tinbergen,Patrick White,Henry Kissinger;Le Duc Tho [f],Wassily Leontief
72,1974,Martin Ryle;Antony Hewish,Paul Flory,Albert Claude;Christian de Duve;George Emil Palade,Eyvind Johnson;Harry Martinson,Seán MacBride;Eisaku Satō,Gunnar Myrdal;Friedrich Hayek
73,1975,Aage Bohr;Ben Roy Mottelson;James Rainwater,John Cornforth;Vladimir Prelog,David Baltimore;Renato Dulbecco;Howard Martin Temin,Eugenio Montale,Andrei Sakharov,Leonid Kantorovich;Tjalling Koopmans
74,1976,Burton Richter;Samuel C. C. Ting,William Lipscomb,Baruch Samuel Blumberg;Daniel Carleton Gajdusek,Saul Bellow,Betty Williams;Mairead Maguire,Milton Friedman
75,1977,Philip Warren Anderson;Nevill Francis Mott;John Hasbrouck Van Vleck,Ilya Prigogine,Roger Guillemin;Andrew Schally;Rosalyn Sussman Yalow,Vicente Aleixandre,Amnesty International,Bertil Ohlin;James Meade
76,1978,Pyotr Kapitsa;Arno Allan Penzias;Robert Woodrow Wilson,Peter D. Mitchell,Werner Arber;Daniel Nathans;Hamilton O. Smith,Isaac Bashevis Singer,Anwar Sadat;Menachem Begin,Herbert A. Simon
77,1979,Sheldon Lee Glashow;Abdus Salam;Steven Weinberg,Herbert C. Brown;Georg Wittig,Allan McLeod Cormack;Godfrey Hounsfield,Odysseas Elytis,Mother Teresa,Theodore Schultz;Arthur Lewis
78,1980,James Cronin;Val Logsdon Fitch,Paul Berg;Walter Gilbert;Frederick Sanger,Baruj Benacerraf;Jean Dausset;George Davis Snell,Czesław Miłosz,Adolfo Pérez Esquivel,Lawrence Klein
79,1981,Nicolaas Bloembergen;Arthur Leonard Schawlow;Kai Siegbahn,Kenichi Fukui;Roald Hoffmann,Roger Wolcott Sperry;David H. Hubel;Torsten Wiesel,Elias Canetti,United Nations High Commissioner for Refugees,James Tobin
